Score,Evaluation
4.8,超级方便，地铁浦东大道站1出口出来对面就是，不用走很多路，穿很小的马路。只是周边最近在施工，看起来比较简陋。酒店还是很不错的。床也很舒服。整个都比较安静，私密。就是早餐自助餐稍微简单了点，没什么特别的，寿司包饭很不好吃，鸡蛋饼很赞。儿童半价八十九也略贵了些，这个价格一般都可以享用晚餐了。毕竟早饭还是单调的，有点感觉不值。虽然有双早，也不能撇下一个出去吃
4.3,先说好的：酒店在4号地铁旁边很方便，酒店设施也很新，房间蛮大，拉开窗帘就看见黄浦江。晚上开门回来空调已经预先打开了，一开门就很凉快，这点很不错。再说不足的：大堂服务员不够热情没笑脸，还不没有清洁阿姨的笑容多！前台办理入住和退房速度很慢，感觉业务比较生疏，我办好入住拿房卡居然开不了房，还是清洁阿姨帮忙开的，后来出去到前台重新弄了下，等晚上回来居然还打不开只好下楼又重新刷下才打开门！希望下次有所改进。
4.3,酒店4号线出来就是，交通很方便，离陆家嘴，八佰伴也蛮近。最近在修路有点乱，楼层高靠黄埔江边蛮不错，房间装修还算是蛮新的，打扫也蛮干净，就是附近没什么吃饭的，下次可以再来
4.3,位置位于浦东经济区的旁边，交通还是很便利的，如果坐地铁就在1号出口对面。酒店整体装修还是比较符合五星标准，我定了3间房，不得不说我跟我朋友对这家酒店的整体服务不是很满意，根本达不到五星标准： 我们是晚上快8点到酒店的，那边正好修路。刚开上酒店入口斜坡发现有些三角路障，保安站在旁边，没有任何标识，我们还以为是没车位，还想开上去点问下保安，结果保安居然理都不理转过了身 酒店的接待等服务员没啥笑脸。早上去餐厅吃早餐有个区域好像是专门给行政楼层的，again没有标识，我跟我家小孩刚转过去，一个服务员拦住我们，面无表情要求我们不能坐在这儿......说话语言懂吗？对不起或者请都不会说吗？那种语气说出来感觉浑身不得劲，感觉有点看不起我们定了标间的，人家是专门给行政服务的。 另外儿子要求吃水煮蛋，我去拿看到正好在煮，我向厨师要求拿2只，他很不耐烦地说：这是别人定的。我说：那能帮我煮2只吗？他居然反复问我：你要吗？2只？......我是没说清楚还是这个要求给您造成了麻烦？去拿鸡蛋正好有个老外要求煮蛋液，那个服务态度啊，简直天差地别了。 最后老公说了以后要定酒店一定要定五星连锁，宁可贵点，我也愿意买那个服务。
4.5,酒店位于浦东，在地铁站出口对面，交通十分方便。周围居民区，风景自然不比景点，不过胜在用餐方便，到达第一天就去了早餐店吃生煎和小笼，很好吃。酒店的早餐对比五星酒店来说乏善可陈，148一人实在不值。房间还不错，淋浴间地板比较差，其他还不错，尤其我们提前到10：40就给我办入住，很棒的服务。总之，很满意的一次住宿。
4.8,在携程预付担保几次最后都没房间，提价才有房间，携程现在可恶了。最后定了裕景，很好，就在地铁口出行非常方便，遗憾的是酒店前面修路，酒店泳池没有开，不过我们住四晚前台将我们房型连升三级至套房，套房内的大浴缸足以让小孩满足了，非常谢谢前台。5楼御庭的菜也不错。
4.5,酒店位子不错， 离世博园和陆家嘴中心都蛮近的，高级大床房也有个大飘窗，可以看到江景，小孩子很兴奋，服务态度都很好， 也很安静， 酒店大致看上去还是蛮干净，但是角角落落还是有明显的灰尘，卫生间干湿分离很好， 但是马桶边没有扔纸巾的垃圾桶，这点不太好，要的婴儿床明显使用很久的痕迹， 有些螺丝已经坏了，不太安全，有待改善。自助餐还是很丰盛的。
4.8,各项其实都不错，入住时正在修地铁，当时怕吵还想退住，前台的服务生给我安排了最高楼层，一点也不吵，风景还很好。早餐很丰富，如果不急的话可以慢慢享用。
4.5,"被免費升級到高級房,性價比高。酒店前台人員和餐廳服務生不光會說英語,還會說日語,真正的能面對不同地方的客人。房間的落地玻璃讓人可以遠眺陸家嘴金融地段,還可以看到對面浦西的郵輪碼頭,那該是虹口區吧?！ 衛生間淋浴沉浴都有,超大的。 酒店邊上在修地鐵,環境有一點點影響。另外前面就只有渺渺幾個免費停車位,爆滿了就只能到地下室的收費車庫了。"
5,地铁4号线出站即到，非常方便，酒店设施新，服务周到，房间可以看到黄浦江，住的非常舒服，五星的服务，实惠的价格，早饭也非常丰富，什么风格的早餐都有，有个鸡蛋卷很好吃，携程的服务也值得信赖，让我们度过了一个非常愉快的国庆假期
